headline,group_name,group_description,importance_score
Economy can withstand any shock: Jalan,Economy,"GDP, inflation, economic indicators, fiscal updates",7.0
Pakistan test fires nuclear-capable Hatf III Ghaznavi missile,WorldNews,Major international events and developments,7.0
Police bust gang of robbers; recover gold jewellery; SUVs,Crime,"Criminal cases, investigations, arrests",4.5
Maharashtra govt to allocate Rs 360 crore for medical college seats,Education,"Schools, colleges, exams, admissions, policies",4.5
Christian Bale''s knee injury derails ''Deep Blue Goodbye'',RegionalNews,State-wise and city-wise local news,4.5
KMC seizes account of UP Power Transmission Corporation,EnergyPower,"Electricity, renewable energy, oil and gas",4.5
Vehicle snuffs out child's life,RegionalNews,State-wise and city-wise local news,4.5
Earth-like rock on Mars; finds rover,SpaceAstronomy,"ISRO, NASA, satellites, astronomy missions",4.5
Violence in Nawada after idol found uprooted,RegionalNews,State-wise and city-wise local news,4.5
Over 2;100 people fined for violating Games lanes,RegionalNews,State-wise and city-wise local news,4.5
Sensex down 101 points on profit-booking; Asian cues,StockMarket,"NSE, BSE, shares, trading, investments",6.0
Suspect in Chakan murder killed 8-year-old girl in 2011,Crime,"Criminal cases, investigations, arrests",6.5
RSS worker hacked to death in front of parents,RegionalNews,State-wise and city-wise local news,6.5
Focus on ancient Indian wisdom to improve higher education,WorldNews,Major international events and developments,7.0
Pune civic polls 2017: Defeated candidates allege election rigged,Politics,"Elections, political parties, ministers, governance, parliament",9.0
Valet park at your risk,RegionalNews,State-wise and city-wise local news,4.5
Woman's body found in abandoned toilet in Secunderabad,RegionalNews,State-wise and city-wise local news,4.5
Film fighters,Entertainment,"Movies, TV, OTT, celebrities",4.5
Power shutdown tomorrow,EnergyPower,"Electricity, renewable energy, oil and gas",4.5
Aarti's Bollywood themed birthday bash,Entertainment,"Movies, TV, OTT, celebrities",4.5
Pernod Ricard names first expat head for Indian unit,RegionalNews,State-wise and city-wise local news,4.5
Congress names its 38 more candidates for Lok Sabha polls,Politics,"Elections, political parties, ministers, governance, parliament",7.0
Passengers wait; bus driver gets off to vote,WorldNews,Major international events and developments,7.0
US Nagar SSP transfer case: HC issues notice to UPSC after plea by officer,WorldNews,Major international events and developments,7.0
Sr citizen gets back Rs 1.8 lakh lost at IGI airport,Infrastructure,"Roads, railways, airports, smart cities",4.5
5% VAT slab now in effect,RegionalNews,State-wise and city-wise local news,4.5
Murder accused dies in Nalanda lock-up; SHO axed,Crime,"Criminal cases, investigations, arrests",6.5
IGL blows green trumpet for Delhi at global climate meet,EnvironmentClimate,"Climate change, pollution, conservation",4.5
Come; milk cows in Haryana,RegionalNews,State-wise and city-wise local news,4.5
X-ray film is latest casualty at govt hospitals,Entertainment,"Movies, TV, OTT, celebrities",4.5
Maharashtra: Increase in charge for fuel adjustment raises power bills by up to 20%; users call it 'cruel',EnergyPower,"Electricity, renewable energy, oil and gas",4.8
Upgraded Margao ESI hospital by June,HealthMedicine,"Healthcare, diseases, treatments, hospitals",6.0
PG courses on wildlife soon,EnvironmentClimate,"Climate change, pollution, conservation",4.5
Salute your seniors; city's top cop tells all policemen in circular,RegionalNews,State-wise and city-wise local news,4.5
Tabu or taboo?,RegionalNews,State-wise and city-wise local news,4.5
Memory highway,Infrastructure,"Roads, railways, airports, smart cities",4.5
China wary of India's military might: US,DefenceMilitary,"Armed forces, defense deals, military operations",7.0
Citizens suffer with no power; water,EnergyPower,"Electricity, renewable energy, oil and gas",4.5
US factor looms large on market,WorldNews,Major international events and developments,7.0
District court acquits 6 in assault case,LawJustice,"Courts, legal judgments, litigation",6.0
Near-collision triggers road rage at Juhu,Infrastructure,"Roads, railways, airports, smart cities",4.5
Pakistan hangs militant; 20th execution since moratorium lifted,WorldNews,Major international events and developments,7.0
Groupon to ramp up hiring,EmploymentCareers,"Jobs, recruitment, placements, workforce trends",4.5
386 complaints under MGNEGS scheme,GovernmentPolicy,"Government schemes, regulations, policy announcements",4.5
Flight test of BrahMos air version next year: MD; BrahMos Aerospace,RegionalNews,State-wise and city-wise local news,4.5
Proper notice must to hike property tax,RealEstate,"Housing, property market, construction",4.5
Maharashtra: Zilla Parishad teachers told to clear TET,RegionalNews,State-wise and city-wise local news,4.5
Grape export suffers loss of Rs 250 crore,RegionalNews,State-wise and city-wise local news,6.5
South China Sea part of global commons: India,WorldNews,Major international events and developments,7.0
Missing businessman's body fished out of drain in Etah; family suspects murder,Crime,"Criminal cases, investigations, arrests",6.5
Haryana yet to implement witness protection scheme,GovernmentPolicy,"Government schemes, regulations, policy announcements",4.5
MBBS student of Delhi's Safdarjung hospital found hanging,Education,"Schools, colleges, exams, admissions, policies",4.5
UP hospital deaths: Yogi govt orders FIRs against doctors; staffers,HealthMedicine,"Healthcare, diseases, treatments, hospitals",8.0
Budget 2015: Fiscal consolidation still a tough task: Moody's,Economy,"GDP, inflation, economic indicators, fiscal updates",9.0
What school lunches really look like,Education,"Schools, colleges, exams, admissions, policies",4.5
No open defecation in 14 villages,RegionalNews,State-wise and city-wise local news,4.5
BSP workers hold protests; demand arrest of Dayashankar,Crime,"Criminal cases, investigations, arrests",4.5
The number of abandoned dogs has only been increasing,RegionalNews,State-wise and city-wise local news,4.5
Militant arrested; huge cache of arms recovered in J&K,RegionalNews,State-wise and city-wise local news,4.5
Age Of Ultron to release in India on April 24,RegionalNews,State-wise and city-wise local news,4.5
Parikrama is 20 today!,RegionalNews,State-wise and city-wise local news,4.5
Inflation rises to minus 0.21%,Economy,"GDP, inflation, economic indicators, fiscal updates",7.0
In Mumbai's biggest building deal; US investor to pay Rs 2;500cr for BKC tower,StockMarket,"NSE, BSE, shares, trading, investments",6.0
Tihar case: And then there were eight,RegionalNews,State-wise and city-wise local news,4.5
28 Taliban militants killed in Pakistan,Crime,"Criminal cases, investigations, arrests",6.5
Angry mob attacks Savli police station,Crime,"Criminal cases, investigations, arrests",4.5
Man killed,Crime,"Criminal cases, investigations, arrests",6.5
Telangana medicos seek larger share of seats at Nims,StockMarket,"NSE, BSE, shares, trading, investments",6.0
State BJP core-committee meeting in Delhi today,Politics,"Elections, political parties, ministers, governance, parliament",7.0
C$ hits two-week low as Fed rate signal boosts greenback,RegionalNews,State-wise and city-wise local news,4.5
Knee surgery on woman injured in snag-hit elevator,RegionalNews,State-wise and city-wise local news,4.5
Bihar: 19-year-old boy killed over love affair in Muzaffarpur village,Crime,"Criminal cases, investigations, arrests",6.5
Zone 6 residents pin hope on new Lucknow Municipal Corporation team to rid area of civic mess,RegionalNews,State-wise and city-wise local news,4.8
Woman held for bid to steal newborn baby,RegionalNews,State-wise and city-wise local news,4.5
Next chief minister from Congress; our alliance partner: Vijai Sardesai,Politics,"Elections, political parties, ministers, governance, parliament",7.0
Army to sell 800 tanks as 'scrap',DefenceMilitary,"Armed forces, defense deals, military operations",7.0
Malaika Arora: Don't see myself Doing a full-fleged film,Entertainment,"Movies, TV, OTT, celebrities",4.5
3 Siddha students die; 2 others injured in road accident,Infrastructure,"Roads, railways, airports, smart cities",4.5
bank officer slips into platform gap dies bank staffer tries to board train slips dies,BankingFinance,"Banks, loans, RBI, fintech, financial services",6.3
Who's the Father of all Gandhis?,RegionalNews,State-wise and city-wise local news,4.5
Palestine olive oil to reap Onam harvest,EnergyPower,"Electricity, renewable energy, oil and gas",4.5
Autos; taxis hope to revive biz as Metro set to resume,Infrastructure,"Roads, railways, airports, smart cities",4.5
Electricity records lie in the open at Zirakpur,EnergyPower,"Electricity, renewable energy, oil and gas",4.5
Over 350 form human chain against blasts at Navi Mumbai International Airport site,Infrastructure,"Roads, railways, airports, smart cities",4.8
Scheme for road accident victims,GovernmentPolicy,"Government schemes, regulations, policy announcements",4.5
Statutory Liquidity Ratio (SLR),RegionalNews,State-wise and city-wise local news,4.5
NMC to make water harvesting must,RegionalNews,State-wise and city-wise local news,4.5
Principals weigh legal options over revised school bus policy,GovernmentPolicy,"Government schemes, regulations, policy announcements",4.5
A little help for Bhagwan from a few good humans,RegionalNews,State-wise and city-wise local news,4.5
Andhra lose to Rajasthan,RegionalNews,State-wise and city-wise local news,4.5
Selling many flats to buy one? You can get tax benefits; rules tribunal,RegionalNews,State-wise and city-wise local news,4.5
2-BHK housing scheme faces fund shortage,GovernmentPolicy,"Government schemes, regulations, policy announcements",4.5
US speeds up bomb supply to Israel,WorldNews,Major international events and developments,7.0
No age bar on recruitment of assistant professors: UGC,EmploymentCareers,"Jobs, recruitment, placements, workforce trends",4.5
Cop-turned criminal killed in encounter,Crime,"Criminal cases, investigations, arrests",6.5
Central Park samiti's legal notice to officials,LawJustice,"Courts, legal judgments, litigation",6.0
BJP to announce candidates before March 15,Politics,"Elections, political parties, ministers, governance, parliament",7.0
Special train leaves for accident spot in Andhra,RegionalNews,State-wise and city-wise local news,4.5
Alizeh Agnihotri to make her debut in Bollywood with 'Dabangg 3'?,Entertainment,"Movies, TV, OTT, celebrities",4.5
1;400 residents seek inclusion in loan waiver scheme,BankingFinance,"Banks, loans, RBI, fintech, financial services",6.0
HC declines to stay PU polls,RegionalNews,State-wise and city-wise local news,4.5
Police forcefully shift fasting man to hospital,HealthMedicine,"Healthcare, diseases, treatments, hospitals",6.0
Former US congresswoman Barbara-Rose Collins dies at 82,WorldNews,Major international events and developments,7.0
2;000 students; teachers to take part in environment event,EnvironmentClimate,"Climate change, pollution, conservation",4.5
Cops killed as Naik's convoy jeep rams vehicle,Crime,"Criminal cases, investigations, arrests",6.5
BJP blames Chirag Paswan for split in LJP; hints at berth for Pashupati Kumar Paras in cabinet,Politics,"Elections, political parties, ministers, governance, parliament",7.3
MP CM seeks nod to sell off forest land,Politics,"Elections, political parties, ministers, governance, parliament",7.0
Election Commission plans for 'normal' Lok Sabha; state polls,Politics,"Elections, political parties, ministers, governance, parliament",9.0
Jet crew member injured in Brussels terror attack returns home,RegionalNews,State-wise and city-wise local news,4.5
Fly them to the Moon,SpaceAstronomy,"ISRO, NASA, satellites, astronomy missions",4.5
101 new Covid-19 cases in Chennai; no reason to worry: Tamil Nadu health minister Ma Subramanian,Politics,"Elections, political parties, ministers, governance, parliament",7.3
Key bills in focus as state assembly session begins,WorldNews,Major international events and developments,7.0
Karjat spl school: 8 boys locked in room; forced to urinate in bottles,Education,"Schools, colleges, exams, admissions, policies",4.5
Pregnant woman's murder: Backpack biker clue on cam,Crime,"Criminal cases, investigations, arrests",6.5
Missing couple held for bizman's murder,Crime,"Criminal cases, investigations, arrests",6.5
SR Nagar road restored finally,Infrastructure,"Roads, railways, airports, smart cities",4.5
Denied Metro access; groups in the Old City launch protest,Infrastructure,"Roads, railways, airports, smart cities",4.5
NGO frees children from shackles of labour; leads them onto path of education,RegionalNews,State-wise and city-wise local news,4.5
Date for civic promotions moved to November 9,RegionalNews,State-wise and city-wise local news,4.5
Sanjay Dutt released from Pune jail,RegionalNews,State-wise and city-wise local news,4.5
Jallianwala Bagh memorial inspires all visitors,RegionalNews,State-wise and city-wise local news,4.5
Pune: Tunnelling & station work for Metro in Mandai gain speed,Infrastructure,"Roads, railways, airports, smart cities",4.5
Cyber crime accused; 2 aides try sting op on cop,Cybersecurity,"Hacking, cybercrime, data breaches, security",4.5
Priyanka Chopra says 'Bharat' is the quintessential Bollywood movie which she hasn't done in many years,Entertainment,"Movies, TV, OTT, celebrities",4.8
ED Hyderabad gets 1st PMLA conviction,RegionalNews,State-wise and city-wise local news,4.5
12 prisoners join Nalini fast for early release,RegionalNews,State-wise and city-wise local news,4.5
Indian-American jailed for selling military secrets to China,DefenceMilitary,"Armed forces, defense deals, military operations",7.0
Spectators; troupes brave hourlong downpour,RegionalNews,State-wise and city-wise local news,4.5
Notice to 5 Dehradun Hospital HoDs as doctors found missing from OPDs,HealthMedicine,"Healthcare, diseases, treatments, hospitals",6.0
Chandrababu Naidu joins Muslims in Eid prayers,RegionalNews,State-wise and city-wise local news,4.5
Watch how you touch up: Even a chipped nail paint can cost a job,EmploymentCareers,"Jobs, recruitment, placements, workforce trends",4.5
Top bureaucrat to cycle 30km from Delhi to Raahgiri venue,RegionalNews,State-wise and city-wise local news,4.5
Jharkhand inducts PCV in routine vaccine programs,Pharmaceuticals,"Drug industry, vaccines, medicine approvals",4.5
Metro line to Dwarka,Infrastructure,"Roads, railways, airports, smart cities",4.5
Pedestrian policy gets boost with civic body's green signal,GovernmentPolicy,"Government schemes, regulations, policy announcements",4.5
Rape; murder of 6-year-old girl from Chalthan unsolved,Crime,"Criminal cases, investigations, arrests",6.5
Rs 35.30 lakh cash seized from truck's cabin,RegionalNews,State-wise and city-wise local news,4.5
Delhi: House panel hears case of cooperative bank that gave loans on forged documents,BankingFinance,"Banks, loans, RBI, fintech, financial services",6.3
Mohun Bagan used female intern to frame A K Ganguly PIL,RegionalNews,State-wise and city-wise local news,4.5
Thane girls make it to top 10 in Bsc; Bcom,RegionalNews,State-wise and city-wise local news,4.5
128 persons test positive for Covid-19,RegionalNews,State-wise and city-wise local news,4.5
Too many circulars on tender process for purchases leave state officials foxed,RegionalNews,State-wise and city-wise local news,4.5
K'taka sees a rise in vacant engg seats too,RegionalNews,State-wise and city-wise local news,4.5
Eleven babies die in 40 hours at Kolkata hospital,HealthMedicine,"Healthcare, diseases, treatments, hospitals",6.0
Economic census begins; enumerators told to clear misconceptions too,Economy,"GDP, inflation, economic indicators, fiscal updates",7.0
Bhopal Municipal Corporation chief in Paris; hopes to get 'funding for city projects',Startups,"Startup ecosystem, funding, entrepreneurship",4.8
Mind Games actor Christian Slaters marriage to Brittany Lopez,Entertainment,"Movies, TV, OTT, celebrities",4.5
Jaipur court summons Delhi-based industrialist for sexual crime,LawJustice,"Courts, legal judgments, litigation",6.0
Delhi school van driver held for rape,Education,"Schools, colleges, exams, admissions, policies",6.5
Standardize norms for new buildings,RegionalNews,State-wise and city-wise local news,4.5
Two villages in Nainital to be developed for astro-tourism,RegionalNews,State-wise and city-wise local news,4.5
Man held for wife's murder after 1.5 mths,Crime,"Criminal cases, investigations, arrests",6.5
CJI Gogoi shuns leniency; puts premium on court time; unveils procedural reforms,LawJustice,"Courts, legal judgments, litigation",6.0
Nagpur University drops contentious queries at senate meet,Education,"Schools, colleges, exams, admissions, policies",4.5
Mum-Pune highway toll: Rs 1;000cr in over 8 years,Infrastructure,"Roads, railways, airports, smart cities",4.5
MCG 'flouts dust norms' at road site; Park View residents protests,Infrastructure,"Roads, railways, airports, smart cities",4.5
Duo running home for destitutes arrested for beating up inmate,RegionalNews,State-wise and city-wise local news,4.5
Israeli DJ makes guests groove at The Nest in Delhi,RegionalNews,State-wise and city-wise local news,4.5
Videshi faces hot in Bollywood,Entertainment,"Movies, TV, OTT, celebrities",4.5
2G scam: BJP dares PM to rubbish PAC draft report in public,Politics,"Elections, political parties, ministers, governance, parliament",7.0
Piped gas to reach parts of BENGALURU soon,EnergyPower,"Electricity, renewable energy, oil and gas",4.5
Poll scene heats up as leaders set to arrive for campaigning,RegionalNews,State-wise and city-wise local news,4.5
Teejan Bai ready for RS,RegionalNews,State-wise and city-wise local news,4.5
Tokyo stocks plunge 2.2% as results show tight US election,Politics,"Elections, political parties, ministers, governance, parliament",9.0
Day after disaster; gloom spreads in Dongri,RegionalNews,State-wise and city-wise local news,4.5
World Tourism Day to focus on communities,WorldNews,Major international events and developments,7.0
MUDA gets notice,RegionalNews,State-wise and city-wise local news,4.5
'Rajini's claims don't merit a comment',RegionalNews,State-wise and city-wise local news,4.5
For JEE (A) questions sans multiple choices; IIT will evaluate with care,Education,"Schools, colleges, exams, admissions, policies",4.5
Rs 975 crore for power transmission upgrade in Lucknow,EnergyPower,"Electricity, renewable energy, oil and gas",4.5
Treat mental health as public concern: Expert,HealthMedicine,"Healthcare, diseases, treatments, hospitals",6.0
Woman kills self after delivering girl,Crime,"Criminal cases, investigations, arrests",4.5
IT raids at private college chain in Puducherry,Education,"Schools, colleges, exams, admissions, policies",4.5
NGO acts as dogs' best friend,RegionalNews,State-wise and city-wise local news,4.5
Mann threatens to take out Ayodhya march,RegionalNews,State-wise and city-wise local news,4.5
Cops don't file FIR to 'check' crime,Crime,"Criminal cases, investigations, arrests",4.5
Panel to probe school fee hike in Pune,Education,"Schools, colleges, exams, admissions, policies",4.5
TDP can revive fortunes in T; says Lokesh,RegionalNews,State-wise and city-wise local news,4.5
Sunaina and Ananya were looking meticulously through Farah Khan's showcase at Evoluzione in Chennai,RegionalNews,State-wise and city-wise local news,4.8
Rs 1 crore bank heist: 10 of 15-member gang arrested,BankingFinance,"Banks, loans, RBI, fintech, financial services",6.0
No change in petrol; diesel prices for now: Aiyar,RegionalNews,State-wise and city-wise local news,4.5
Vetal Hill becoming kachara depo; dumping yard,RegionalNews,State-wise and city-wise local news,4.5
Pakistan moves Bin Laden doctor to safer location,WorldNews,Major international events and developments,7.0
PFI instigated illegal settlers; have sought total ban: Assam CM Himanta Biswa Sarma,RegionalNews,State-wise and city-wise local news,4.8
Football: Dutch league table,Sports,"Cricket, football, Olympics, tournaments",4.5
Fee panel to parents: Get ID proofs signed from Noida school,Education,"Schools, colleges, exams, admissions, policies",4.5
Sebi files plea in Supreme Court; seeks six more months for Adani probe,LawJustice,"Courts, legal judgments, litigation",8.0
Telangana to buy maize at Rs 1;850/quintal,RegionalNews,State-wise and city-wise local news,4.5
Kerala youth on honeymoon killed in Kullu raft capsize,Crime,"Criminal cases, investigations, arrests",6.5
Himachal Pradesh cabinet guidelines for school vehicles,GovernmentPolicy,"Government schemes, regulations, policy announcements",4.5
Tough start for water meter scheme,GovernmentPolicy,"Government schemes, regulations, policy announcements",4.5
I auditioned thrice for my own film: Amita Pathak,Entertainment,"Movies, TV, OTT, celebrities",4.5
Lucknow: 26 years after dad's murder; man kills for revenge,Crime,"Criminal cases, investigations, arrests",6.5
GST; Companies Act boost demand for CAs,BusinessCorporate,"Companies, mergers, acquisitions, corporate news",6.0
no cbi probe into kathua rape rules top court dismisses accuseds petition,LawJustice,"Courts, legal judgments, litigation",8.0
Actor Sukumari succumbs to burns,Entertainment,"Movies, TV, OTT, celebrities",4.5
Fire breaks out at plastic manufacturing factory in Delhi,RegionalNews,State-wise and city-wise local news,4.5
US prodding Musharraf to share power with Bhutto: Report,StockMarket,"NSE, BSE, shares, trading, investments",6.0
Nilgai falls into 20-ft deep bore well; rescued by Wildlife SOS,EnvironmentClimate,"Climate change, pollution, conservation",4.5
Startup to provide technical support to handloom weavers,Startups,"Startup ecosystem, funding, entrepreneurship",4.5
Man ends life at BSE; foul play ruled out,StockMarket,"NSE, BSE, shares, trading, investments",6.0
Loss indicates Cong future,RegionalNews,State-wise and city-wise local news,4.5
'Revenue department has turned beggars' colony',RegionalNews,State-wise and city-wise local news,4.5
Close shave for estate agent after gangster opens fire,RegionalNews,State-wise and city-wise local news,4.5
Tope tells collectors to make list of 1st & 2nd shot beneficiaries,RegionalNews,State-wise and city-wise local news,4.5
Kerala govt proposes corpus funds for villages in Environmentally Sensitive Areas to approach centre for assistance,WorldNews,Major international events and developments,7.3
Congress to unite villagers against Modi in Jharkhand,Politics,"Elections, political parties, ministers, governance, parliament",7.0
Minor fire at Delhi Police headquarter,Crime,"Criminal cases, investigations, arrests",4.5
'Bikramjeet's dream project was film on Siachen;' reveals Madhur Bhandarkar,Entertainment,"Movies, TV, OTT, celebrities",4.5
Chelsea wary of Maribor threat,RegionalNews,State-wise and city-wise local news,4.5
Ranchi University to act tough on corruption cases,Education,"Schools, colleges, exams, admissions, policies",4.5
21;000sqft underground facility to come up at Shenoy metro,Infrastructure,"Roads, railways, airports, smart cities",4.5
Over 5L migrant workers enroll under Awaaz scheme,GovernmentPolicy,"Government schemes, regulations, policy announcements",4.5
Law exempting child labour? SC notice to govt,RegionalNews,State-wise and city-wise local news,4.5
Villagers protest removal of idol from old temple inside airport campus,Infrastructure,"Roads, railways, airports, smart cities",4.5
Sania-Chuang falter in semis,RegionalNews,State-wise and city-wise local news,4.5
Posh's legs; kids safeguard Becks,RegionalNews,State-wise and city-wise local news,4.5
Family gets bodies of drowned Pkl sisters,RegionalNews,State-wise and city-wise local news,4.5
India market balm for Gujarat pharma units,Pharmaceuticals,"Drug industry, vaccines, medicine approvals",4.5
Trucks keep alive Bhagat legacy,RegionalNews,State-wise and city-wise local news,4.5
Auto cos may face parts shortage,RegionalNews,State-wise and city-wise local news,4.5
Amit Shah tried to mislead Rajya Sabha: Rajasthan CM Ashok Gehlot,RegionalNews,State-wise and city-wise local news,4.5
Foreign delegation to visit IIIT-A,RegionalNews,State-wise and city-wise local news,4.5
School bus attack: Child rights panel summons authorities,Education,"Schools, colleges, exams, admissions, policies",4.5
Farmer kills self in Nalbari,Crime,"Criminal cases, investigations, arrests",4.5
Patna University colleges witness low attendance,Education,"Schools, colleges, exams, admissions, policies",4.5
26 cases of dengue detected in city so far,RegionalNews,State-wise and city-wise local news,4.5
After NGT rap; govt agrees to form its river policy,GovernmentPolicy,"Government schemes, regulations, policy announcements",4.5
Is Writers' Buildings the next Mantralaya?,RegionalNews,State-wise and city-wise local news,4.5
Work begins on approach road for ROB near Periyar Nagar,Infrastructure,"Roads, railways, airports, smart cities",4.5
Amdavadis are putting 'diwa' back in Diwali,RegionalNews,State-wise and city-wise local news,4.5
Nootrenbadhu,RegionalNews,State-wise and city-wise local news,4.5
Ekta's fine with award functions,RegionalNews,State-wise and city-wise local news,4.5
Fracas erupts over Gujarat University appointments,Education,"Schools, colleges, exams, admissions, policies",4.5
I'm happy to judge Ugram Ujjwalam: Bala,LawJustice,"Courts, legal judgments, litigation",6.0
Deccan Mujahideen: The new name in terror,RegionalNews,State-wise and city-wise local news,4.5
My rally crowd bigger than Bharat Jodo Yatra in MP; says Nakul Nath,Politics,"Elections, political parties, ministers, governance, parliament",7.0
Pune police ask societies' heads to lock terrace door,Crime,"Criminal cases, investigations, arrests",4.5
US team to visit 2nd crash site in Tripura,WorldNews,Major international events and developments,7.0
Nine lose battle to Covid-19; dist records biggest surge of 306 cases,RegionalNews,State-wise and city-wise local news,4.5
Sector 26 college gets new fine arts dean,Education,"Schools, colleges, exams, admissions, policies",4.5
Bill extending Lokayukta tenure passed by assembly,RegionalNews,State-wise and city-wise local news,4.5
Fashion industry flays service tax,BusinessCorporate,"Companies, mergers, acquisitions, corporate news",6.0
United colours of politics: Anna's arrest brings opposition closer in House,Crime,"Criminal cases, investigations, arrests",4.5
Career worry: Why new dads are afraid of taking paternity leave,EmploymentCareers,"Jobs, recruitment, placements, workforce trends",4.5
Expo untangles science for students & visitors,RegionalNews,State-wise and city-wise local news,4.5
BJP rules out alliance with BJD,Politics,"Elections, political parties, ministers, governance, parliament",7.0
Committee supporting merger plan formed,BusinessCorporate,"Companies, mergers, acquisitions, corporate news",6.0
Maharashtra: 'Free inoculation is Centre's call',RegionalNews,State-wise and city-wise local news,4.5
Maharashtra: Raze 2 Dapoli resorts for green violations; orders union ministry of environment,EnvironmentClimate,"Climate change, pollution, conservation",4.8
MLA says he's clueless why 1583 revolt is not in syllabus,Politics,"Elections, political parties, ministers, governance, parliament",7.0
Four assault bizman in Carnac Bunder,RegionalNews,State-wise and city-wise local news,4.5
